Year,Region,Country,Brand,EV_Sales,Charging_Stations,Market_Share
2023,South America,Chile,Volkswagen,95553,19094,11.86
2022,Oceania,Australia,BYD,95738,14632,8.8
2022,Europe,Germany,Tesla,72425,6782,16.45
2015,South America,Brazil,Nissan,62925,9360,5.87
2023,South America,Brazil,BYD,94611,4747,13.57
2020,Europe,Norway,Hyundai,45729,10176,17.07
2023,North America,Mexico,BMW,85978,4516,21.52
2017,North America,Canada,Rivian,90428,4648,17.62
2017,Oceania,New Zealand,Nissan,83265,14346,10.23
2020,North America,USA,Hyundai,25768,6305,19.43
2023,Oceania,New Zealand,Kia,78276,17313,22.56
2021,Asia,China,Volkswagen,62948,6320,12.47
2017,Europe,France,Nissan,97036,8668,1.11
2017,South America,Brazil,BYD,67368,11804,22.14
2016,Oceania,New Zealand,Tesla,11729,2516,4.97
2023,North America,USA,BYD,45792,5605,4.03
2017,Oceania,Australia,BMW,6800,928,8.38
2025,Africa,South Africa,Volkswagen,83694,6117,10.12
2019,Oceania,Australia,BMW,40434,3257,20.19
2023,North America,Mexico,Nissan,26320,4307,10.34
2022,Africa,South Africa,BYD,66373,4681,2.17
2016,Africa,South Africa,Tesla,36562,3305,16.26
2017,North America,Mexico,Kia,95942,9300,17.11
2016,Africa,Egypt,BMW,49988,6937,20.54
2022,Europe,Germany,Tesla,13945,824,10.57
2020,South America,Brazil,Hyundai,2367,354,3.07
2020,Europe,Germany,Nissan,94617,22304,14.27
2023,Europe,Norway,Tesla,89334,4903,3.9
2022,North America,Mexico,Nissan,66530,11722,1.41
2018,North America,USA,Hyundai,5142,1116,19.69
2018,South America,Chile,Tesla,8852,995,10.68
2023,Oceania,Australia,Volkswagen,2536,193,13.6
2015,Europe,France,Tesla,64592,3789,16.91
2016,Africa,South Africa,Kia,15222,2721,10.62
2016,South America,Brazil,Hyundai,48824,7833,2.23
2020,Europe,Norway,Rivian,16686,1599,7.07
2018,Oceania,New Zealand,Volkswagen,59585,12889,5.66
2025,Africa,Egypt,Volkswagen,87503,17246,24.46
2024,Europe,Germany,BYD,91987,9684,18.75
2017,Asia,China,Rivian,59397,11919,11.84
2017,South America,Chile,Tesla,2781,275,2.52
2017,North America,Mexico,Kia,96731,17900,3.78
2020,Europe,UK,Tesla,43328,3193,20.51
2022,Africa,South Africa,Kia,2101,395,23.69
2025,Africa,Egypt,Volkswagen,45287,4427,1.75
2021,South America,Brazil,BMW,1799,295,22.85
2018,South America,Chile,Volkswagen,58554,4947,10.13
2025,Africa,South Africa,BYD,15294,2985,6.13
2018,Africa,Egypt,Tesla,96184,5980,3.45
2025,Africa,Egypt,Rivian,95749,7955,19.52
2024,Europe,Germany,Hyundai,53819,4672,12.25
2025,Africa,South Africa,Nissan,16526,962,20.98
2025,North America,Mexico,Hyundai,97133,19329,6.43
2025,Africa,South Africa,BYD,18930,4660,17.29
2016,North America,Canada,BMW,48285,9931,3.83
2015,Europe,Norway,BMW,22358,4966,3.15
2023,South America,Chile,BMW,84618,4332,4.2
2016,North America,USA,Kia,3832,281,20.41
2022,Europe,Sweden,Hyundai,34371,5561,16.73
2023,Africa,Egypt,Rivian,69213,16996,4.98
2018,Europe,Germany,Nissan,28670,5222,10.23
2022,Africa,South Africa,Volkswagen,63955,7983,19.33
2023,Europe,Sweden,Volkswagen,96639,7656,7.86
2024,South America,Brazil,Nissan,86921,7002,23.11
2024,North America,Mexico,Volkswagen,39309,4817,22.95
2019,South America,Brazil,Kia,95764,18459,14.27
2021,Asia,South Korea,Tesla,74763,4213,16.17
2024,Africa,South Africa,Kia,80568,17760,16.68
2018,North America,USA,Nissan,40328,9610,7.2
2015,South America,Chile,Nissan,91681,20881,9.77
2017,North America,Canada,Rivian,45829,10660,4.26
2019,Asia,Japan,Rivian,63706,3380,23.2
2017,Oceania,New Zealand,Tesla,25208,6190,18.37
2025,Africa,South Africa,Hyundai,82683,10192,2.11
2021,Africa,Egypt,Hyundai,16456,3683,14.19
2023,Europe,UK,BYD,84472,7379,9.23
2020,Africa,South Africa,Rivian,64256,8951,20.57
2024,Africa,Egypt,Hyundai,81104,4771,9.25
2015,South America,Brazil,BMW,88245,5119,16.46
2021,Africa,South Africa,Rivian,79768,19037,4.98
2017,Africa,South Africa,Rivian,63309,13429,14.41
2019,Asia,Japan,BMW,88464,13797,8.05
2024,Asia,India,Rivian,4589,711,4.96
2018,North America,Canada,Rivian,31288,6249,15.86
2024,North America,Canada,BYD,93459,11059,16.33
2019,Africa,South Africa,Nissan,99161,20067,24.6
2019,Africa,Egypt,Rivian,80035,11765,17.06
2020,Europe,UK,BYD,74978,13314,13.38
2024,North America,Canada,Tesla,16340,3970,22.9
2024,South America,Brazil,BYD,3750,540,20.88
2025,Africa,Egypt,BYD,56214,7514,14.17
2020,South America,Chile,Kia,68294,15786,13.27
2022,Africa,Egypt,BMW,99387,22910,23.61
2022,South America,Brazil,Tesla,85858,21334,15.81
2025,Oceania,Australia,Kia,80537,12899,18.13
2023,South America,Chile,Tesla,56009,6656,3.08
2022,North America,Mexico,BYD,11268,1105,18.24
2025,Africa,South Africa,Rivian,65184,3703,7.35
2016,North America,Canada,Kia,91764,17925,3.77
2024,South America,Chile,Kia,48499,4689,21.39
2025,Asia,China,Tesla,18667,3198,17.59
2015,Asia,Japan,Tesla,50745,11839,10.78
2024,Asia,South Korea,Hyundai,86952,20872,11.35
2016,Africa,South Africa,Volkswagen,49005,2493,5.73
2016,Europe,France,Tesla,5617,637,1.23
2017,Oceania,New Zealand,Kia,41206,8961,9.38
2024,South America,Chile,Nissan,10833,1703,4.56
2021,Europe,France,Tesla,98338,20798,11.12
2016,Asia,South Korea,BMW,15422,3403,21.01
2015,South America,Chile,Hyundai,84553,11712,3.75
2020,Europe,Germany,BMW,58361,7108,3.2
2023,North America,Mexico,Volkswagen,25817,3642,22.65
2017,Asia,South Korea,BMW,72156,13028,18.88
2020,Europe,Norway,Nissan,2977,367,2.27
2017,Africa,South Africa,Rivian,87378,17912,2.91
2015,North America,Canada,Hyundai,6637,1531,17.44
2019,Asia,South Korea,Volkswagen,36144,3847,9.89
2024,Oceania,Australia,BYD,98846,24019,18.38
2025,Asia,China,Kia,39097,6824,10.71
2018,Africa,South Africa,Kia,9095,2052,24.23
2021,Oceania,Australia,Tesla,26402,1868,17.67
2020,Oceania,Australia,Kia,46761,4690,2.12
2024,Oceania,Australia,Nissan,88766,10137,8.93
2021,South America,Chile,Kia,7186,794,14.53
2019,South America,Brazil,Nissan,43609,3679,4.4
2018,Oceania,Australia,BYD,63539,14209,1.06
2021,North America,Canada,Rivian,60237,8055,2.9
2021,Oceania,New Zealand,Nissan,52302,12689,13.58
2020,Europe,Germany,BYD,95149,15860,16.17
2022,Oceania,New Zealand,BYD,97962,7609,3.23
2018,South America,Chile,BYD,81697,13004,16.96
2024,South America,Chile,Nissan,50529,12567,15.81
2019,Europe,Norway,Volkswagen,35154,5731,23.56
2018,Europe,France,BYD,67339,3392,21.18
2015,Asia,South Korea,Rivian,51392,12160,23.64
2022,North America,Mexico,Volkswagen,83532,8100,24.19
2015,North America,Mexico,Nissan,65436,12282,11.58
2019,North America,Canada,Rivian,88460,13535,12.71
2020,Africa,Egypt,Hyundai,73488,8457,7.76
2020,South America,Brazil,Rivian,26974,2873,13.2
2019,North America,Canada,BYD,39386,9285,4.62
2017,Asia,Japan,Nissan,97909,22752,17.11
2019,Asia,India,Nissan,14926,2278,1.6
2022,North America,USA,Volkswagen,33835,3440,6.66
2016,Europe,Sweden,Nissan,31041,2187,5.99
2020,Asia,India,Tesla,75416,6132,23.51
2023,Europe,Germany,Volkswagen,77840,12022,4.48
2022,South America,Chile,Volkswagen,91592,10218,22.38
2025,Africa,Egypt,Tesla,5465,319,3.98
2022,Asia,China,BYD,66204,9336,16.62
2022,Europe,UK,Kia,44624,8890,8.68
2021,North America,USA,Hyundai,68707,15688,8.58
2022,South America,Brazil,Kia,17262,2883,24.96
2020,Oceania,New Zealand,BYD,30404,5918,6.43
2016,Oceania,Australia,BMW,67968,8347,5.86
2016,North America,USA,BMW,14713,2195,15.14
2022,South America,Chile,Rivian,33461,6555,18.78
2025,South America,Chile,Hyundai,25339,4954,24.58
2015,South America,Chile,Volkswagen,30442,4106,17.83
2020,South America,Chile,Hyundai,30825,4892,14.48
2020,Oceania,New Zealand,Hyundai,92083,21618,10.82
2025,Europe,France,Tesla,10707,1888,15.28
2018,South America,Chile,Tesla,96471,17221,15.42
2025,Europe,Sweden,BMW,70652,14619,6.23
2025,South America,Brazil,Hyundai,73914,5399,17.11
2024,Asia,South Korea,Rivian,15314,2367,5.91
2017,Africa,South Africa,Nissan,18184,4398,12.76
2025,Asia,South Korea,Kia,36468,4461,7.24
2017,Africa,Egypt,BMW,3873,422,8.51
2015,Asia,South Korea,Hyundai,91185,15523,15.73
2017,South America,Chile,Nissan,15678,1477,2.55
2018,Europe,UK,Hyundai,26456,4264,1.29
2025,Africa,South Africa,Volkswagen,65183,5288,4.13
2025,Oceania,New Zealand,BYD,41192,6836,5.05
2019,North America,Mexico,Nissan,44619,7606,5.75
2017,Africa,South Africa,Volkswagen,92135,12316,19.57
2020,Africa,Egypt,Kia,5491,694,11.72
2025,Oceania,New Zealand,BYD,5702,565,12.28
2019,South America,Brazil,Volkswagen,20816,2418,16.46
2017,Asia,China,Tesla,30195,4519,18.5
2020,Asia,South Korea,BMW,4122,410,1.08
2020,Europe,UK,Hyundai,61237,12649,21.56
2022,South America,Chile,BMW,57632,11054,24.72
2016,Oceania,New Zealand,Kia,2110,219,3.92
2015,South America,Chile,Hyundai,42072,2923,16.63
2018,South America,Brazil,BYD,17488,875,1.06
2021,Asia,Japan,Nissan,96362,16318,2.18
2025,Oceania,New Zealand,Nissan,66656,6150,7.84
2024,North America,USA,Hyundai,15835,831,21.31
2017,Africa,Egypt,BYD,3102,377,16.66
2017,Asia,Japan,Hyundai,92795,22493,11.7
2019,Oceania,Australia,Hyundai,56125,10550,11.53
2019,Europe,Sweden,Rivian,86220,19102,12.19
2024,Africa,Egypt,Volkswagen,88958,7023,8.46
2017,Africa,Egypt,Hyundai,98959,6398,22.07
2023,Asia,India,Nissan,81434,4259,14.63
2018,Europe,Germany,Rivian,93965,22658,12.61
2017,Asia,South Korea,Kia,61755,6795,12.16
2025,South America,Chile,Hyundai,60761,8622,23.46
2016,Oceania,New Zealand,Nissan,16403,2114,18.37
2024,Europe,Germany,Tesla,11809,2315,4.48
2025,Africa,Egypt,BYD,35983,4029,11.49
2023,Asia,South Korea,Tesla,8570,1346,7.92
2018,Africa,South Africa,Hyundai,33717,8399,24.68
2017,Europe,Norway,Nissan,95461,13251,10.97
2021,Africa,South Africa,BYD,61805,9904,2.63
2022,Asia,China,BMW,15606,2348,10.87
2025,Asia,Japan,BYD,34337,7232,8.71
2016,North America,Canada,BYD,4517,466,15.39
2021,Africa,South Africa,Rivian,29920,2515,6.43
2019,North America,USA,Hyundai,94203,18917,1.86
2025,North America,USA,Volkswagen,14082,1874,3.3
2019,Africa,Egypt,Tesla,79903,18597,7.8
2017,Europe,Sweden,Tesla,84705,15147,9.36
2019,South America,Brazil,Rivian,76263,12420,21.03
2016,Asia,China,BMW,51051,3271,7.48
2018,Oceania,New Zealand,Hyundai,81983,16075,1.76
2020,North America,Mexico,BYD,77968,14596,19.74
2015,Europe,France,Volkswagen,11485,2044,21.85
2024,Africa,Egypt,Kia,6875,712,12.82
2018,Europe,France,Tesla,16305,3902,7.84
2020,Europe,UK,Tesla,17607,2013,19.53
2023,Africa,South Africa,Nissan,42901,3451,1.21
2025,Oceania,Australia,BYD,73571,18204,23.18
2025,Africa,Egypt,Hyundai,38088,7589,21.77
2016,Oceania,Australia,Tesla,16970,2256,14.08
2025,Africa,Egypt,Rivian,24581,5830,7.66
2021,North America,Mexico,Volkswagen,7346,501,1.79
2020,Oceania,Australia,Rivian,70185,4739,25
2016,North America,Mexico,Rivian,30425,5673,19.29
2022,Oceania,New Zealand,Rivian,54489,4663,9.13
2021,Oceania,New Zealand,Hyundai,69248,16164,1.46
2025,Africa,Egypt,BYD,69958,15255,16.34
2019,Oceania,New Zealand,Rivian,96580,10746,24.69
2019,North America,USA,BYD,98101,22344,17.97
2021,Africa,South Africa,Tesla,48197,2823,3.01
2023,Asia,Japan,BMW,93101,14870,10.65
2025,North America,USA,Hyundai,23194,5499,3.62
2023,Asia,China,Rivian,6542,1446,22.89
2023,Europe,UK,Rivian,8513,1031,8.93
2020,Africa,South Africa,Hyundai,31785,2751,18.6
2024,Europe,UK,Nissan,42946,3955,3.03
2020,Africa,South Africa,Volkswagen,53179,8131,4.08
2017,Africa,Egypt,BYD,90684,15357,17.31
2015,North America,Mexico,BYD,58568,3312,21.24
2021,Asia,Japan,Tesla,4254,564,5.83
2018,Africa,South Africa,Tesla,11687,2525,11.04
2015,Asia,Japan,Tesla,37633,5225,15.87
2022,Africa,Egypt,Nissan,66582,5581,20.11
2020,Asia,China,Volkswagen,36997,8915,16.08
2020,Europe,France,Rivian,55536,5734,3.29
2016,North America,Mexico,BMW,48955,10265,14.03
2015,Africa,South Africa,Tesla,96635,8577,22.23
2016,South America,Brazil,Tesla,5016,675,21.83
2018,Asia,China,Kia,67295,9965,15.04
2016,Asia,Japan,Volkswagen,23876,3584,24.9
2015,South America,Chile,Tesla,90176,13823,3.52
2021,North America,Canada,Nissan,85353,8107,12.49
2025,Asia,South Korea,Hyundai,68545,10499,19.6
2025,North America,Canada,BMW,45468,6653,4.38
2022,Asia,China,Hyundai,12764,1171,24.35
2020,Oceania,Australia,Rivian,18446,4567,9.5
2018,Asia,India,Kia,32135,7169,9.4
2020,Oceania,Australia,BYD,76313,17362,6.12
2017,Africa,South Africa,BYD,26865,5026,7.91
2022,North America,Canada,Tesla,24959,2046,14.86
2024,Asia,South Korea,Kia,64413,10539,11.3
2016,Europe,Sweden,Hyundai,69705,14936,5.64
2019,Europe,France,Nissan,96600,5578,20.42
2015,South America,Chile,BMW,84901,12664,2.49
2020,Europe,Germany,Volkswagen,56850,7346,21.03
2016,Oceania,Australia,Hyundai,17088,1579,7.6
2018,Europe,France,Kia,15540,1952,12.9
2020,Europe,UK,Rivian,17625,4348,10.15
2024,Europe,France,Kia,31259,6084,14.69
2025,Asia,Japan,Volkswagen,94106,10342,20.1
2022,South America,Chile,Hyundai,73085,12502,24.74
2022,North America,Mexico,Rivian,81552,8100,8.35
2025,South America,Brazil,BMW,37531,6461,14.29
2020,Oceania,Australia,Hyundai,57489,13178,12.18
2018,Asia,India,Hyundai,5237,845,24.97
2022,Africa,Egypt,BMW,50757,9982,20.41
2022,Asia,India,Nissan,82063,11543,10.53
2024,Europe,UK,Volkswagen,10515,1627,12.45
2015,Europe,UK,Kia,60491,11433,6.9
2018,Oceania,New Zealand,BMW,37465,7960,19.13
2018,Africa,Egypt,Tesla,15595,2836,21.29
2021,Asia,South Korea,Tesla,15553,3818,24.16
2025,Africa,Egypt,Tesla,88908,19023,14.58
2021,North America,USA,Tesla,32019,6577,17.1
2025,South America,Brazil,Rivian,63886,13992,11.71
2022,Asia,Japan,Volkswagen,52837,5613,15.62
2025,Africa,South Africa,BYD,23563,3214,9.37
2019,North America,USA,Nissan,72342,11783,18.7
2021,North America,Mexico,BYD,13073,1862,1.54
2022,South America,Chile,Hyundai,17748,3895,1.68
2023,North America,Mexico,Hyundai,92692,5136,18.19
2017,Oceania,New Zealand,BMW,17441,1601,23.34
2017,North America,Canada,Tesla,79054,17893,16.17
2018,Africa,Egypt,Rivian,13588,840,18.44
2019,Oceania,New Zealand,Rivian,86711,8272,20.77
2024,North America,Mexico,BMW,16624,1999,9.68
2015,Europe,Sweden,Hyundai,82867,16585,3.59
2021,North America,USA,Tesla,4319,699,23.39
2023,Oceania,New Zealand,Volkswagen,96322,23205,23.53
2022,North America,Mexico,Kia,11664,1114,11.6
2019,North America,USA,Nissan,33201,7451,6.21
2018,North America,Mexico,Hyundai,82511,8794,22.42
2021,Oceania,New Zealand,Kia,49937,4948,18
2019,North America,USA,BMW,85341,12773,1.2
2021,South America,Chile,Kia,77534,4980,3.59
2015,Africa,Egypt,BMW,33369,4233,24.6
2015,South America,Chile,Hyundai,37103,4494,1.92
2024,Oceania,New Zealand,BYD,4735,388,7.78
2017,Europe,Sweden,Rivian,12515,2780,14.16
2025,South America,Brazil,Volkswagen,15101,1920,5.42
2016,Africa,Egypt,Volkswagen,8009,1973,6.57
2016,Asia,South Korea,Rivian,39984,9193,9.47
2021,Africa,South Africa,Nissan,17418,1549,7.47
2024,South America,Brazil,Volkswagen,41475,6263,20.28
2016,Asia,South Korea,Kia,42020,7158,13.01
2025,Oceania,New Zealand,Volkswagen,36193,7737,7.69
2018,Africa,South Africa,Kia,27459,6236,8.51
2016,Europe,France,Hyundai,1409,246,1.96
2020,Asia,China,Volkswagen,75641,4313,2.19
2022,Asia,Japan,Hyundai,80541,11779,18.23
2024,Africa,South Africa,Volkswagen,618,140,3.71
2018,South America,Brazil,Rivian,29138,5618,12.42
2019,Asia,South Korea,BMW,69149,15491,21.22
2018,Oceania,New Zealand,Tesla,80801,14933,9.84
2017,Africa,Egypt,Tesla,83911,4934,9.3
2019,Oceania,New Zealand,Tesla,18980,4623,21.95
2023,Africa,South Africa,BMW,8444,1972,21.76
2022,Oceania,Australia,Tesla,35522,2675,22.12
2022,South America,Chile,Rivian,91125,6610,14.73
2022,Africa,Egypt,Hyundai,49207,7765,23.86
2022,Europe,Germany,BYD,98599,19858,20.66
2021,South America,Brazil,BYD,55755,7049,10.98
2022,Oceania,Australia,Volkswagen,67269,5198,16.11
2025,Africa,Egypt,BYD,87678,13336,3.92
2022,South America,Chile,Tesla,29208,3432,14.23
2022,Oceania,New Zealand,BYD,31437,3783,7.32
2024,North America,Mexico,Kia,59323,10618,7.81
2021,North America,USA,Tesla,38899,8834,4.02
2015,Asia,India,Kia,66165,10700,9.6
2018,Europe,Sweden,Hyundai,18655,3498,12.55
2018,North America,USA,Kia,21338,3883,15.41
2019,Oceania,New Zealand,Hyundai,23654,3790,8.32
2024,South America,Brazil,BMW,44535,4994,20.01
2020,Africa,South Africa,BMW,30794,3866,13.5
2018,South America,Brazil,Volkswagen,71309,8067,16.31
2016,Asia,Japan,Kia,74733,17450,7.68
2020,South America,Brazil,Nissan,6128,1319,20.54
2022,North America,Canada,Hyundai,46349,7687,15.98
2022,South America,Chile,Rivian,25914,6023,21.7
2021,North America,Mexico,Tesla,70754,16081,4.84
2020,North America,Canada,Nissan,19560,4607,10.14
2016,Europe,Germany,Hyundai,596,56,3.71
2021,Asia,India,Tesla,84383,16328,6.17
2025,Oceania,New Zealand,Hyundai,96432,16571,10.47
2019,North America,USA,Hyundai,11558,2274,22.47
2020,Africa,Egypt,Rivian,12718,1305,14.37
2024,Asia,South Korea,Tesla,17482,3303,8.93
2022,Oceania,New Zealand,Hyundai,60825,8026,18.93
2022,Africa,Egypt,Rivian,98317,21316,1.47
2017,South America,Chile,Hyundai,69999,14634,9.88
2021,Asia,South Korea,Hyundai,91040,8400,15.42
2015,Africa,Egypt,Volkswagen,47122,4088,15
2015,Asia,China,BMW,24177,4679,15.58
2021,Asia,South Korea,BYD,45241,7242,6.08
2024,South America,Chile,Hyundai,67360,10874,9.09
2023,South America,Chile,Volkswagen,27666,5547,23.36
2021,Asia,South Korea,Rivian,43874,9695,24.38
2024,Africa,Egypt,Tesla,47408,4636,8.49
2019,Europe,Norway,Kia,90531,14585,16.47
2022,North America,Mexico,Hyundai,92128,19880,6.79
2016,South America,Chile,Volkswagen,67375,15129,9.84
2023,Europe,France,BMW,48816,5246,20.02
2020,South America,Brazil,Volkswagen,12786,905,13.03
2023,Asia,Japan,BMW,64039,6183,21.39
2016,Europe,Norway,Kia,29735,7109,16.09
2017,Africa,Egypt,Hyundai,77631,11062,16.09
2022,Africa,Egypt,Nissan,60390,8075,1.81
2015,Oceania,Australia,Kia,26052,1370,18.99
2024,North America,Mexico,BYD,14129,850,24.47
2021,North America,Canada,Tesla,46989,8633,12.35
2021,South America,Chile,Volkswagen,59458,9986,4.81
2015,North America,USA,Tesla,59428,9811,24.45
2023,Oceania,Australia,Tesla,95961,6915,7.96
2022,Africa,South Africa,Rivian,38758,4666,10.82
2018,Europe,Norway,Rivian,13343,2835,2.86
2024,Europe,Sweden,Tesla,98071,8334,3.66
2025,Africa,South Africa,BMW,24488,5547,6.2
2019,Asia,South Korea,Volkswagen,98719,7334,14.16
2016,Africa,South Africa,Rivian,99022,8301,14.39
2023,Europe,France,BYD,33801,4919,15.55
2020,South America,Brazil,Hyundai,81013,19366,15.01
2017,Oceania,New Zealand,Hyundai,8451,979,12.89
2021,Africa,South Africa,Nissan,92107,16730,20.25
2023,Asia,South Korea,Hyundai,75601,12680,23.41
2017,South America,Chile,Rivian,29215,2334,7.47
2016,Africa,South Africa,BYD,53475,5327,4.12
2021,South America,Chile,Hyundai,61793,14585,11.2
2021,Africa,Egypt,BMW,49716,4323,1.63
2018,South America,Brazil,Kia,37609,7108,22.2
2025,North America,Canada,Hyundai,38350,9316,6.75
2023,South America,Chile,Tesla,47164,3485,14.18
2022,North America,Mexico,Tesla,77370,10045,3.76
2015,Europe,Sweden,Kia,92336,8752,14.28
2015,North America,Canada,Tesla,19869,1873,1.94
2019,South America,Chile,Tesla,90437,6673,19.45
2020,Oceania,New Zealand,BMW,60716,10923,23.93
2017,Oceania,New Zealand,BMW,21139,4212,8.37
2023,Europe,Germany,BMW,64805,12012,7.2
2024,South America,Chile,Rivian,83424,19598,11.75
2020,North America,USA,Hyundai,19006,1504,15.88
2018,Oceania,Australia,Kia,64125,7308,5.54
2021,Africa,South Africa,Tesla,78802,9370,20.28
2022,Asia,China,Nissan,72732,7012,5.76
2023,South America,Chile,Kia,63266,4962,1.13
2025,Africa,Egypt,Nissan,4481,660,13.58
2020,Africa,Egypt,Tesla,82891,17978,3.76
2020,South America,Brazil,BYD,20289,4887,17.76
2022,Asia,China,Kia,808,61,5.02
2019,Oceania,New Zealand,Rivian,93546,20077,20.62
2017,Asia,China,Hyundai,95408,20504,12.29
2017,Europe,Germany,Nissan,73743,9424,14.59
2020,North America,Mexico,Kia,81558,5872,5.48
2016,North America,USA,Kia,36315,9006,4.52
2020,Africa,South Africa,BMW,26997,4889,16.15
2020,Oceania,Australia,BYD,96560,23796,7.13
2022,Asia,Japan,BMW,44459,6523,10.26
2021,Africa,Egypt,BYD,35285,4553,12.51
2022,South America,Chile,BYD,13866,1378,6.51
2023,Africa,South Africa,Hyundai,38149,9411,20.09
2020,South America,Brazil,Kia,27428,2760,23.55
2017,South America,Chile,BMW,86617,4742,11.37
2024,Europe,Sweden,Rivian,24605,3752,23.02
2017,Europe,France,BMW,20343,2551,22.18
2025,South America,Chile,Nissan,71470,7309,4.99
2015,Oceania,New Zealand,Kia,33839,5986,5.16
2025,Europe,Germany,Tesla,86009,10566,12.46
2019,Europe,UK,Tesla,77671,10132,13.62
2018,North America,Canada,Nissan,66632,3638,9.19
2023,Africa,South Africa,BYD,21957,3684,8.51
2023,North America,Mexico,Rivian,98451,7326,11.35
2019,Oceania,Australia,Nissan,50722,4705,17.57
2024,Europe,Sweden,Nissan,94357,18250,3.03
2018,Europe,UK,BMW,80870,9109,18.05
2021,Asia,Japan,Nissan,86745,7168,23.23
2020,Oceania,Australia,Volkswagen,69407,11485,19.32
2018,Africa,South Africa,Rivian,657,61,5.6
2024,Africa,Egypt,BYD,82068,8551,3.1
2016,Africa,Egypt,Tesla,58766,10241,12.77
2015,Oceania,Australia,Hyundai,3818,755,23.95
2018,Asia,Japan,Rivian,79498,15735,20.66
2018,Asia,Japan,Rivian,60190,8814,14.51
2015,North America,Canada,Kia,74993,10563,4.43
2020,Oceania,Australia,Nissan,77879,16162,18.13
2018,Oceania,Australia,Kia,68648,6082,20.51
2015,Asia,South Korea,Nissan,21446,1725,23.44
2015,South America,Chile,Volkswagen,12520,2290,15.69
2015,South America,Chile,Kia,78809,10395,13.35
2022,North America,USA,BMW,30747,5903,15.86
2024,South America,Chile,BMW,943,95,23.64
2022,South America,Brazil,Kia,39241,4511,16.08
2016,South America,Chile,Nissan,17788,4079,7.18
2025,Europe,Germany,Volkswagen,3410,458,16.27
2021,North America,Mexico,Volkswagen,44669,7512,22.11
2022,Asia,Japan,Nissan,17809,1270,14.61
2022,South America,Chile,BYD,77949,6685,13.06
2025,Africa,South Africa,Tesla,14765,844,18.6
2024,Europe,UK,Rivian,94999,12812,16.86
2025,South America,Chile,Rivian,95941,23772,2.36
2021,Europe,Sweden,Tesla,24735,5559,18.41
2019,North America,Mexico,Volkswagen,55582,9814,10.78
2015,Africa,South Africa,Hyundai,58595,13020,23.58
2023,Africa,South Africa,Tesla,75462,12740,24.3
2021,Africa,Egypt,Hyundai,3422,423,11.77
2016,South America,Brazil,BMW,58506,4956,24.25
2020,Europe,Norway,Rivian,40823,7373,8.46
2016,Africa,Egypt,Hyundai,96127,8517,17.38
2015,Oceania,Australia,Hyundai,28271,3773,2.8
2021,Oceania,New Zealand,Tesla,10276,2210,4.48
2016,Europe,France,Volkswagen,66955,5078,21.75
2016,South America,Chile,Nissan,38272,2901,22.45
2025,South America,Brazil,Volkswagen,53871,5111,13.78
2019,North America,Canada,BMW,21454,3440,9.15
2019,North America,USA,BYD,21337,2141,11.82
2021,Africa,South Africa,Hyundai,75994,11447,21.87
2015,Asia,South Korea,Hyundai,6075,670,6.06
2022,North America,Canada,Kia,51605,7805,8.08
2017,South America,Brazil,Hyundai,52220,5510,19.85
2018,Asia,India,Volkswagen,73981,18199,23.45
2023,North America,USA,Nissan,54580,8107,3.23
2018,Europe,Norway,BYD,76899,15282,20.29
2024,Oceania,New Zealand,Volkswagen,81893,15568,16.48
2019,North America,Mexico,Kia,32809,4859,6.54
2021,North America,Mexico,Volkswagen,23454,2293,19.14
2018,Europe,France,Tesla,50094,7621,18.47
2015,South America,Brazil,BMW,33868,6306,4.41
2023,Africa,South Africa,Nissan,93778,13314,13.05
2018,Europe,Sweden,BYD,78170,5189,19.2
2023,Africa,Egypt,BMW,12080,647,5.6
2020,North America,USA,Tesla,21466,2480,12.11
2015,South America,Brazil,BMW,82073,6569,3.9
2017,Asia,China,Kia,68822,15914,8.36
2025,North America,Mexico,Hyundai,85115,7248,6.23
2016,Europe,Sweden,Hyundai,15731,2027,13.12
2023,Asia,India,Nissan,12340,2374,4.39
2015,Oceania,New Zealand,BMW,2552,543,10.2
2023,Asia,China,Volkswagen,33899,4933,7.6
2023,Europe,Germany,Hyundai,69478,5990,18.91
2022,Asia,India,Nissan,2254,234,17.79
2022,Europe,Sweden,Nissan,75806,10142,3.28
2025,North America,USA,Kia,79535,9776,23.88
2015,South America,Brazil,Nissan,66025,7905,18.87
2025,Oceania,Australia,Tesla,525,40,15.78
2022,South America,Brazil,Volkswagen,90366,21024,12.46
2024,South America,Brazil,Hyundai,10901,609,5.27
2017,South America,Chile,Hyundai,7053,973,24.09
2025,Europe,Sweden,BYD,71795,17666,1.19
2021,Europe,Norway,Tesla,8255,1501,17.62
2025,Oceania,New Zealand,Hyundai,79420,9616,13.18
2015,Europe,UK,Kia,95964,7602,22.66
2015,Africa,Egypt,Hyundai,93514,22702,10.14
2024,Europe,UK,BYD,34397,1816,13.45
2019,Europe,France,Rivian,45564,8487,18.82
2019,Europe,UK,BMW,98410,22243,2.14
2022,North America,Canada,BMW,86565,4763,2.31
2021,Oceania,New Zealand,Tesla,38909,7588,6.08
2022,Africa,Egypt,Nissan,98404,24578,4.51
2020,Europe,Sweden,BYD,55549,9883,1.15
2020,Oceania,New Zealand,Rivian,47169,6270,15.95
2016,Asia,Japan,BYD,14871,3344,20.1
2020,North America,Canada,Rivian,73405,11806,23.97
